test,p0,p1,p2a,p2b,w0,w2
Bathyteuthis,0.965830,0.022410,0.011490,0.000270,0.023280,1.000000
Groenlandibelus,0.887890,0.020780,0.089250,0.002090,0.023150,999.000000
Idiosepius,0.946510,0.022010,0.030770,0.000720,0.023160,1.254190
Loliginidae,0.864140,0.019840,0.113410,0.002600,0.022790,6.565530
Oegop_Bathy,0.902080,0.021020,0.075160,0.001750,0.023130,999.000000
Oegopsida,0.937410,0.021970,0.039680,0.000930,0.023180,999.000000
Ommastrepidae,0.912680,0.020890,0.064940,0.001490,0.023120,1.208590
Sepiida,0.863640,0.020160,0.113550,0.002650,0.022890,999.000000
Sepiolida,0.950040,0.022330,0.026990,0.000630,0.023180,1.000000
Vampyroteuthis,0.916370,0.021750,0.060450,0.001430,0.023380,1.000000
